lat,long,gauge_id,q_mean,q_std,q_5,q_95,runoff_coefficient,p_mean,p_std,q_7_10,q_seasonal_amplitude,cvq_autumn,cvq_spring,cvq_summer,cvq_winter,q_annual_sens_slope,q_annual_p.value
49.835592,12.062839,DE211260,1.336,1.684,0.25,4.24,0.49,2.726,5.313,0.218,2.096,1.397,0.966,0.988,1.044,0.001,0.208
49.82344,11.892113,DE211290,0.995,1.353,0.16,3.249,0.412,2.415,4.718,0.134,1.59,1.427,1.132,1.311,1.087,0.001,0.475
49.608357,12.128236,DE211310,0.738,0.832,0.18,2.11,0.348,2.122,4.175,0.154,1.029,1.158,0.911,1.22,0.933,-0.001,0.587
49.718214,11.915919,DE211320,0.673,0.837,0.15,1.98,0.325,2.071,4.228,0.125,0.956,1.114,0.976,1.311,1.111,0,0.865
49.410767,12.308872,DE211450,0.854,0.85,0.25,2.3,0.384,2.226,4.374,0.213,1.113,1.034,0.755,1.025,0.927,0,0.946
49.611973,11.801464,DE211460,0.716,0.608,0.33,1.539,0.335,2.137,4.397,0.302,0.562,0.643,0.691,0.744,0.941,0,0.587
49.44817,11.854819,DE211470,0.725,0.578,0.37,1.6,0.342,2.121,4.341,0.346,0.57,0.638,0.67,0.678,0.849,0,0.708
49.200144,11.943238,DE211490,0.792,0.394,0.48,1.47,0.377,2.102,4.203,0.494,0.475,0.42,0.408,0.36,0.556,0,0.708
49.494372,11.797895,DE211500,1.003,0.424,0.73,1.45,0.464,2.16,4.512,0.687,0.199,0.312,0.376,0.288,0.578,0,0.812
49.292092,11.814242,DE211510,0.934,0.442,0.5,1.76,0.405,2.307,4.676,0.474,0.649,0.389,0.389,0.3,0.506,0,0.865
49.060066,12.917691,DE211580,1.257,1.482,0.39,3.42,0.411,3.056,5.882,0.373,1.399,1.366,0.968,1.116,1.1,-0.002,0.163
49.036527,12.996556,DE211620,1.52,1.65,0.43,3.98,0.477,3.187,6.275,0.433,1.751,1.233,0.901,0.971,1.029,0,1
49.282346,12.917729,DE211700,1.142,1.401,0.28,3.3,0.462,2.47,5.207,0.272,1.2,1.319,0.977,1.453,1.118,-0.003,0.089
49.062597,12.274877,DE211720,0.716,0.883,0.11,2.12,0.326,2.197,4.513,0.099,1.088,1.412,0.96,1.761,0.955,-0.003,0.066
49.038613,12.252383,DE211730,0.7,0.857,0.13,2.059,0.323,2.169,4.462,0.123,1.073,1.481,0.953,1.701,0.945,-0.001,0.208
48.941188,12.200416,DE211740,0.447,0.396,0.18,0.9,0.228,1.964,4.19,0.16,0.32,0.729,0.765,0.85,0.927,0,0.838
48.915498,12.425401,DE211760,0.507,0.447,0.24,0.97,0.246,2.058,4.256,0.225,0.275,0.774,0.868,0.819,0.902,-0.001,0.434
